,UNQ,max_gap_hrs,avg_gap_hrs,med_gap_hrs,gaps_gt2days,gaps_gt3days,gaps_gt4days,gaps_gt5days
UNQ_45,45,72.3356632211111,22.421988765685185,22.906109125555556,12,2,0,0
UNQ_91,91,72.47078525722222,20.94442194153846,23.550623746666666,8,1,0,0
UNQ_82,82,72.47931124138888,23.29111608823383,23.6879435875,9,3,0,0
UNQ_74,74,72.47960178444444,26.905259733141765,24.0025956725,10,3,0,0
UNQ_92,92,72.51999456416667,24.710979538541665,23.981692061388888,9,3,0,0
UNQ_43,43,73.15660943944444,25.13330971531196,23.5119686675,12,3,0,0
UNQ_37,37,73.18646001444444,22.7249929140503,22.764641619583337,13,2,0,0
UNQ_38,38,73.71558030277778,23.03629418684551,22.75277094138889,14,2,0,0
UNQ_12859,12859,73.72147813027777,24.00495558375,23.966046655694445,7,2,0,0
UNQ_12716,12716,73.72179343138889,25.85148628647436,24.009276771388887,7,2,0,0
UNQ_66,66,94.52006223777778,26.781393793356102,24.019252531666666,11,4,0,0
UNQ_64,64,94.53336936527778,30.67804760318415,23.97540187875,14,5,0,0
UNQ_15,15,94.71474837638888,27.55825876949074,24.010421904583335,8,2,0,0
UNQ_6,6,94.71529931583333,25.657689231824705,23.973057022361107,7,1,0,0
UNQ_52,52,95.46751179805555,27.10236033309139,24.009275833611113,11,5,0,0
UNQ_60,60,95.46837803833334,27.102360257925632,23.967927423194446,12,5,0,0
UNQ_59,59,95.46849544333332,21.495596560383774,22.72834721138889,11,4,0,0
UNQ_68,68,95.46866814444445,26.255415907612846,23.995439800833335,10,4,0,0
UNQ_67,67,95.46907332527778,20.944423351214382,22.764243686388888,9,4,0,0
UNQ_76,76,95.4698246361111,28.00577218884722,24.013996655972225,11,4,0,0
UNQ_75,75,95.469930245,21.21642813434704,23.485047959722223,8,4,0,0
UNQ_84,84,95.47069073083334,22.70738666793168,23.846491531944444,9,4,0,0
UNQ_83,83,95.47078701888888,21.495595111695906,23.491812376805555,9,3,0,0
UNQ_90,90,95.47136490083334,19.57928250409357,23.597418707499997,5,2,0,0
UNQ_98,98,95.47222167472222,21.2575068269127,23.675078240972223,5,2,0,0
UNQ_12866,12866,95.47251061583334,19.07724976500712,23.673483007222224,3,2,0,0
UNQ_53,53,95.50451327916666,24.371734517596614,23.483091930277777,14,4,0,0
UNQ_96,96,95.70928354194444,29.68066522958081,23.98717020638889,14,6,0,0
UNQ_89,89,95.97165139055555,27.207295708615742,23.975068634166664,11,5,0,0
UNQ_48,48,96.01639213944443,26.719613405658603,23.47174622402778,14,6,1,0
UNQ_40,40,96.01667933277778,27.157654222714026,23.813479523055555,12,6,1,0
UNQ_73,73,96.0478151775,26.005636503120375,23.513979860972224,13,5,1,0
UNQ_81,81,96.04810761388889,32.008588777870365,23.98565220277778,14,6,1,0
UNQ_80,80,96.11365219638888,28.56230003685824,23.473785465972224,14,6,1,0
UNQ_88,88,96.11365918666667,30.230328565128605,23.959608912083333,14,7,1,0
UNQ_72,72,96.1139297775,28.078198205710923,23.46418735277778,14,6,1,0
UNQ_12863,12863,96.12176724722222,27.123373213252687,23.830297381388892,11,4,2,0
UNQ_95,95,96.12291602055555,24.730135224873372,23.49241396472222,10,4,2,0
UNQ_58,58,96.21203237777777,30.82386936689203,24.019253114444446,12,6,2,0
