,UNQ,max_gap_hrs,avg_gap_hrs,med_gap_hrs,gaps_gt2days,gaps_gt3days,gaps_gt4days,gaps_gt5days
UNQ_91,91,48.517497881666664,19.697024467818757,23.498871996944445,5,0,0,0
UNQ_12,12,71.48364650972222,21.805870397088473,23.208142932638893,7,0,0,0
UNQ_21,21,71.48451260444445,24.030969835595233,23.54328817861111,7,0,0,0
UNQ_29,29,71.48480183666666,23.550367117061114,23.515768855416667,8,0,0,0
UNQ_13,13,71.97404675638889,23.088573758692814,22.81048534527778,11,0,0,0
UNQ_45,45,72.00509261611111,23.550394205283332,23.51993220166667,8,1,0,0
UNQ_43,43,72.00978714388889,22.673403361436055,22.76813835638889,8,1,0,0
UNQ_82,82,72.01199546583334,22.670150418511525,23.67383224138889,6,2,0,0
UNQ_74,74,72.01199998055556,27.307207787291667,24.23973673111111,8,2,0,0
UNQ_12299,12299,72.04133420972222,24.490950928701814,23.81480770944444,8,1,0,0
UNQ_30,30,72.2566908011111,25.559996793664308,23.660274129444446,8,1,0,0
UNQ_38,38,72.25679900833333,22.666422745000002,22.727453112777777,11,1,0,0
UNQ_12861,12861,72.51834886166667,24.49167821862245,23.97115259888889,7,3,0,0
UNQ_12860,12860,72.51884346083334,24.49167821862245,23.988073866388888,6,2,0,0
UNQ_93,93,72.51920694638889,25.533883222529553,23.978413051388888,8,2,0,0
UNQ_92,92,72.51999456416667,25.001921335833334,23.997471267361114,5,2,0,0
UNQ_31,31,72.54357366972222,22.643253127856397,23.515378169999998,5,2,0,0
UNQ_37,37,73.18646001444444,23.553813746672116,23.509412007222224,9,1,0,0
UNQ_64,64,73.18739510055555,29.56970827707265,23.974664931666666,9,3,0,0
UNQ_12859,12859,73.72147813027777,23.530521900288672,23.986012113611114,4,1,0,0
UNQ_12716,12716,73.72179343138889,24.490951219971652,24.009276771388887,4,1,0,0
UNQ_96,96,94.22602008055556,28.800350765944447,23.99650019125,9,3,0,0
UNQ_12575,12575,94.2333812575,25.00117929453703,23.908653757083336,7,3,0,0
UNQ_12437,12437,94.23364179916666,24.490951071366208,23.9640129325,6,3,0,0
UNQ_66,66,94.52006223777778,26.700356730000003,23.985651037500002,9,3,0,0
UNQ_47,47,94.71144259500001,25.594351803442034,23.51331988375,6,4,0,0
UNQ_15,15,94.71474837638888,28.6852453150271,24.042143224444445,5,1,0,0
UNQ_6,6,94.71529931583333,25.53517248468599,23.975546858888887,4,1,0,0
UNQ_12865,12865,94.72899798194445,23.07710483559829,23.675296867222222,7,2,0,0
UNQ_97,97,94.72983713416667,28.57164004800264,23.98104260611111,8,3,0,0
UNQ_52,52,95.46751179805555,27.274019895858583,24.009275833611113,8,4,0,0
UNQ_60,60,95.46837803833334,26.667924263679016,23.988288805833335,9,4,0,0
UNQ_59,59,95.46849544333332,18.776406387881945,22.394978260277778,7,2,0,0
UNQ_68,68,95.46866814444445,26.667924344586428,24.009566440277776,7,3,0,0
UNQ_67,67,95.46907332527778,18.77641045202257,22.4538474675,7,2,0,0
UNQ_76,76,95.4698246361111,27.90829300003876,24.033006658888887,7,3,0,0
UNQ_75,75,95.469930245,20.715812804152296,22.794723857222223,6,2,0,0
UNQ_84,84,95.47069073083334,22.194173157269393,23.978412760277777,5,3,0,0
UNQ_83,83,95.47078701888888,21.079252679756333,23.485336900833335,6,1,0,0
UNQ_90,90,95.47136490083334,19.354981913978488,23.485344778472225,4,2,0,0
UNQ_98,98,95.47222167472222,21.428730036001983,23.638159792777778,4,2,0,0
UNQ_12866,12866,95.47251061583334,19.354991152437275,23.637824102777778,3,2,0,0
UNQ_5,5,95.48050741194444,22.188098108448635,23.55743029583333,6,1,0,0
UNQ_14,14,95.48166186499999,22.64324721175577,23.520966735833333,7,1,0,0
UNQ_23,23,95.48252650333335,24.00184814076667,23.73859732263889,7,2,0,0
UNQ_36,36,95.48302981444444,23.530521126421565,22.906662395,11,3,0,0
UNQ_44,44,95.4838943075,27.274013206553036,23.789007527916667,11,5,0,0
UNQ_4,4,95.48619630361112,26.733884029046713,23.9865883925,8,1,0,0
UNQ_22,22,95.50103928888889,26.69597850497531,23.988362661388887,11,1,0,0
UNQ_46,46,95.50335533083334,20.36138166339454,22.710668754166665,8,2,0,0
UNQ_54,54,95.5042206975,25.027543218090283,23.500713976527777,10,2,0,0
UNQ_53,53,95.50451327916666,26.167128987203704,23.66031723722222,10,3,0,0
UNQ_28,28,95.66170857222222,25.001184604166664,23.61363185486111,9,3,0,0
