,label,UNQ,max_gap_hrs,avg_gap_hrs,med_gap_hrs,gaps_gt2days,gaps_gt3days,gaps_gt4days,gaps_gt5days
UNQ_1,1,1,242.37743651388888,27.16947039813204,23.501254423888888,11,4,3,1
UNQ_10,10,10,170.6930927538889,29.292085461857642,23.685563836666663,14,5,4,2
UNQ_11,11,11,170.2638801,31.245782606416668,23.723834176805557,12,6,3,3
UNQ_11621,11621,28,170.6931108,27.998347322910444,23.92914614277778,12,5,4,2
UNQ_11757,11757,37,119.44683524444444,29.776029094188715,23.978524749444446,14,6,4,0
UNQ_11892,11892,46,166.72634918083332,32.342937848845786,23.95027578486111,14,7,4,2
UNQ_12,12,12,97.24567766027778,20.786378979359757,22.742565258055556,11,1,1,0
UNQ_12028,12028,55,166.7255094461111,31.794766445056492,23.964011767499997,17,7,3,1
UNQ_12163,12163,64,166.72469927555554,26.054056696242284,23.850566052222224,13,4,2,1
UNQ_12299,12299,73,95.46895825055556,26.134604145465687,23.809345526666664,13,4,0,0
UNQ_12437,12437,82,142.7206978413889,25.030332891643194,23.893626588055554,9,4,1,1
UNQ_12575,12575,91,118.74610614416666,26.52469331,23.964013078055558,10,4,1,0
UNQ_12716,12716,100,73.72179343138889,25.030356279479655,23.98828836861111,8,1,0,0
UNQ_12859,12859,109,73.72147813027777,23.69541482840741,23.958056922222223,7,1,0,0
UNQ_12860,12860,110,72.51884346083334,24.364436588828504,23.97403740861111,8,3,0,0
UNQ_12861,12861,111,118.71283977138889,24.353054911086954,23.704264599166667,10,3,1,0
UNQ_12862,12862,112,120.25483808472222,24.00025704710876,22.991539070833333,6,5,3,1
UNQ_12863,12863,113,143.85570678555555,26.249862315564233,23.61796774,9,4,2,1
UNQ_12864,12864,114,142.74220831833333,30.73170145248538,23.974818953333333,12,5,3,2
UNQ_12865,12865,115,118.62164721666667,26.50998928165423,23.939565666666667,11,5,2,0
UNQ_12866,12866,116,95.50600935583333,21.399629902058233,23.676885665555556,7,5,0,0
UNQ_12867,12867,117,143.99704560555554,21.68861468476573,22.76211647166667,9,2,1,1
UNQ_13,13,13,119.97558560611111,23.349083237089044,23.526699950555553,12,1,1,0
UNQ_14,14,14,96.03464339,27.09731250307347,23.913375192222222,12,4,1,0
UNQ_15,15,15,97.21484648833332,29.89506121124757,24.02897902,8,3,1,0
UNQ_16,16,16,119.80690669055556,28.131015674492186,22.961896444722225,13,7,3,0
UNQ_17,17,17,167.32957987694445,34.82049483312636,22.75506533527778,15,6,4,2
UNQ_18,18,18,167.5271722,30.517970053813563,23.97366308611111,12,4,3,1
UNQ_19,19,19,170.69310178333333,30.732680024608378,23.75642894166667,13,6,4,2
UNQ_2,2,2,170.26269504083334,26.455644284285714,23.422295449722224,11,5,3,2
UNQ_20,20,20,170.69310178333333,27.170241863204502,23.54328817861111,14,5,2,2
UNQ_21,21,21,97.24648724833334,23.673363978140433,23.20829308277778,11,1,1,0
UNQ_22,22,22,119.97558677138889,24.00679163980438,23.70562790472222,12,2,1,0
UNQ_23,23,23,95.48252650333335,26.25563790628038,23.96325647861111,11,4,0,0
UNQ_24,24,24,97.21565330916667,23.666923505428244,23.608130010694445,8,4,2,0
UNQ_25,25,25,119.80690567111111,31.58570673601365,23.945265796944444,13,8,3,0
UNQ_26,26,26,167.33072165972223,33.506535351163514,23.279409805833332,14,6,4,2
UNQ_27,27,27,167.52802678444445,28.193163060970015,23.510859375277775,12,4,2,1
UNQ_28,28,29,170.6931108,27.56980447484885,23.19917044,15,6,2,1
UNQ_29,29,30,95.94260006444445,21.85232870737892,22.812281587222223,11,1,0,0
UNQ_3,3,3,145.2717107511111,24.006816141451488,22.82409342972222,10,2,1,1
UNQ_30,30,31,95.94230923,24.702636563385667,23.660274129444446,10,3,0,0
UNQ_31,31,32,71.21915630055555,24.005154584353182,23.51889713541667,9,4,0,0
UNQ_32,32,33,97.21648750972223,28.13101995936198,23.96854028013889,10,5,3,0
UNQ_33,33,34,121.06543528888889,31.720682623244052,23.953692746944444,14,7,3,1
UNQ_34,34,35,167.3310113288889,26.508935140435327,22.78343502,13,4,3,1
UNQ_35,35,36,119.50218195083333,27.75264489952257,23.83406893652778,12,4,1,0
UNQ_36,36,38,95.48302981444444,24.666763159371143,23.517948855833335,15,4,0,0
UNQ_37,37,39,96.00999464,22.481100600945847,22.777422704166668,12,3,1,0
UNQ_38,38,40,95.94259905,23.34143268747037,22.711513003611113,15,4,0,0
UNQ_39,39,41,96.29272479138888,29.57771995259722,24.013844823333333,11,6,1,0
UNQ_4,4,4,119.97558298472222,25.065944552875816,23.959665669305558,10,1,1,0
UNQ_40,40,42,96.01667933277778,27.698239356683764,23.938938981666666,12,5,1,0
UNQ_41,41,43,121.06627429527776,31.16417435785087,23.52346957111111,15,6,3,1
UNQ_42,42,44,167.5294653722222,29.60163488549537,23.92101263,13,3,3,2
UNQ_43,43,45,94.67601181,26.12013638458742,23.710347836944443,11,3,0,0
UNQ_44,44,47,95.48389431,25.371528020801584,23.518817644722223,15,6,0,0
UNQ_45,45,48,96.00970278,22.200086932635415,22.810636924861107,11,3,1,0
UNQ_46,46,49,95.50335533083334,21.543083692713676,22.731315781944442,10,3,0,0
UNQ_47,47,50,94.71144259500001,29.577710719305557,23.996368609444445,12,6,0,0
UNQ_48,48,51,96.01639213944443,27.69823493384615,23.926400144722223,14,5,1,0
UNQ_49,49,52,119.70227688777778,33.08606083883648,23.945260699444443,14,5,3,0
UNQ_5,5,5,96.03464265944444,25.075124944154226,23.957402138055553,9,3,1,0
UNQ_50,50,53,167.5303198161111,30.517969495955743,23.867857443611108,12,5,3,3
UNQ_51,51,54,97.19014294472223,23.682257008114817,23.495107026666666,10,3,1,0
