burn_date,ha,,
10/10/2019,7,,
10/17/2019,10,,
10/21/2019,3,,
10/24/2019,2,,
10/25/2019,53,,
10/26/2019,6,,
10/27/2019,16,,
10/29/2019,43,,
10/30/2019,86,,
10/31/2019,75,,
11/1/2019,336,,
11/4/2019,692,,
11/5/2019,294,,
11/6/2019,299,,
11/8/2019,783,,
11/9/2019,72,,
11/10/2019,82,,
11/17/2019,190,,
11/18/2019,123,,
11/19/2019,54,,
11/20/2019,63,,
11/23/2019,22,,
11/24/2019,,,
11/25/2019,39,,
11/26/2019,4,,
11/29/2019,60,,
11/30/2019,6,,
12/2/2019,57,,
12/3/2019,43,,
12/4/2019,80,,
12/5/2019,22,,
12/7/2019,29,,
12/8/2019,44,,
