OID_,unique_id,centX7773,centY7773,centXlat,centYlon,minX,maxx,miny,maxY
0,1,916774,975556,74.50543063,30.77833256,447660,457692,3400125,3410157
1,2,926774,975556,74.60990973,30.77899539,457658,467690,3400159,3410191
2,3,936774,975556,74.71439018,30.77957348,467656,477687,3400193,3410224
3,4,946774,975556,74.8188718,30.78006685,477653,487684,3400227,3410258
4,5,956774,975556,74.9233544,30.78047549,487651,497682,3400261,3410292
5,6,966774,975556,75.0278378,30.78079939,497648,507679,3400295,3410326
6,7,976774,975556,75.13232181,30.78103856,507645,517677,3400328,3410359
7,8,986774,975556,75.23680624,30.781193,517643,527674,3400362,3410393
8,9,996774,975556,75.34129092,30.7812627,527640,537671,3400395,3410426
9,10,916774,965556,74.50624659,30.68812279,447694,457726,3390127,3400159
10,11,926774,965556,74.61062766,30.688785,457692,467724,3390162,3400193
11,12,936774,965556,74.71501008,30.68936255,467690,477721,3390196,3400227
12,13,946774,965556,74.81939366,30.68985546,477687,487718,3390230,3400261
13,14,956774,965556,74.92377822,30.69026371,487684,497716,3390264,3400295
14,15,966774,965556,75.02816357,30.69058732,497682,507713,3390297,3400328
15,16,976774,965556,75.13254953,30.69082626,507679,517710,3390331,3400362
16,17,986774,965556,75.23693592,30.69098056,517677,527707,3390365,3400395
17,18,996774,965556,75.34132256,30.6910502,527674,537705,3390398,3400429
18,19,916774,955556,74.50706102,30.59791253,447729,457760,3380130,3390162
19,20,926774,955556,74.61134425,30.59857412,457726,467758,3380164,3390196
20,21,936774,955556,74.71562881,30.59915113,467724,477755,3380198,3390230
21,22,946774,955556,74.81991454,30.59964358,477721,487752,3380232,3390264
22,23,956774,955556,74.92420124,30.60005146,487718,497749,3380266,3390297
23,24,966774,955556,75.02848873,30.60037476,497716,507746,3380300,3390331
24,25,976774,955556,75.13277683,30.60061348,507713,517744,3380334,3390365
25,26,986774,955556,75.23706536,30.60076763,517710,527741,3380367,3390398
