date,1,2,3,4,ALL,stdv
2019-10-10,6792.0,7412.0,6973.0,7483.0,7165.0,290.7430136735877
2019-10-12,5990.0,NaN,NaN,NaN,5990.0,0.0
2019-10-13,6413.5,7037.0,6986.0,7284.5,6930.25,318.99343645285245
2019-10-14,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-15,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-16,6646.0,7167.0,7059.0,8403.0,7318.75,655.4938500855671
2019-10-17,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-20,6027.5,6650.0,6410.0,11297.0,7596.125,2148.20303902471
2019-10-21,6211.5,6834.0,6597.5,13322.5,8241.375,2941.991382868923
2019-10-22,NaN,13628.0,7692.0,17930.0,13083.333333333334,4197.352922444758
2019-10-23,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-24,6462.0,11761.0,6902.0,11107.0,9058.0,2392.2877126299004
2019-10-25,5776.0,11151.0,6575.0,10074.5,8394.125,2268.6898304693395
2019-10-26,5523.0,11026.5,6382.0,10216.0,8286.875,2371.42479258251
2019-10-27,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-29,NaN,NaN,NaN,NaN,NaN,NaN
2019-10-30,10027.0,10504.0,6837.0,5414.0,8195.5,2136.92705771629
2019-10-31,NaN,10243.0,8613.0,6565.0,8473.666666666666,1504.7660578604532
2019-11-04,18952.0,17548.0,17777.0,7257.333333333333,15383.583333333334,4721.829079304615
2019-11-05,3770.0,2743.0,2740.0,6353.0,3901.5,1476.3425246195409
2019-11-06,NaN,2011.0,3984.0,8139.0,4711.333333333333,2554.0629505859
2019-11-08,5056.0,4468.0,5077.0,5887.0,5122.0,504.8073890108979
2019-11-09,NaN,NaN,NaN,NaN,NaN,NaN
2019-11-10,4541.0,3753.0,3871.0,6899.0,4766.0,1267.6265222848565
2019-11-17,6149.5,6772.0,6308.0,8340.0,6892.375,866.5254883008347
2019-11-18,6497.5,6289.5,6081.5,6999.0,6466.875,340.6136695363238
2019-11-19,5641.5,7609.0,6032.0,8009.0,6822.875,1005.7354507399051
2019-11-20,NaN,NaN,NaN,NaN,NaN,NaN
2019-11-23,6772.0,7302.0,6227.0,7582.0,6970.75,518.6566181010322
2019-11-24,6105.0,6314.0,5507.0,7019.0,6236.25,540.3181354535493
2019-11-25,6062.0,7027.5,6276.0,6632.5,6499.5,366.684980603242
2019-11-26,5752.0,5430.5,4774.5,6097.0,5513.5,487.4332005516243
2019-11-29,NaN,NaN,NaN,NaN,NaN,NaN
2019-11-30,6797.0,7188.5,6335.0,4355.0,6168.875,1089.9445155029682
2019-12-01,NaN,NaN,NaN,NaN,NaN,NaN
2019-12-02,4377.0,4789.5,4364.5,3614.0,4286.25,424.1282972167738
2019-12-03,4107.0,4990.0,4320.0,4379.0,4449.0,328.32377312646736
2019-12-04,6774.0,4864.0,4615.0,4564.0,5204.25,913.3757099354023
2019-12-05,6083.0,7380.0,6929.0,4865.0,6314.25,957.5414808247212
2019-12-07,5037.0,NaN,NaN,4181.0,4609.0,428.0
2019-12-08,4994.0,5599.5,5140.0,4096.0,4957.375,545.202872218223
2019-12-10,4340.0,4136.0,4231.333333333333,4799.0,4376.583333333333,254.3383982676099
